city_name,district,name,barangay,address
Quezon City,1,Barangay Masambong Tennis Covered Court,Masambong,Malac St
Quezon City,1,Masambong Community Center Parking Area,Masambong,Malac St
Quezon City,1,"Masambong, Barangay Multi-purpose (Gazebo Hall)",Masambong,Malac St
Quezon City,1,E. Rodriguez High School,N.S Amoranto,Angelo St
Quezon City,1,Malaya Basketball Court,N.S Amoranto,Malaya St
Quezon City,1,Malaya Tennis Court,N.S Amoranto,Malaya St
Quezon City,1,Nayong Kanluran Barangay Hall,Nayong Kanluran,Sorsogon St
Quezon City,1,Nayong Kanluran Basketball Court,Nayong Kanluran,Zamboanga St
Quezon City,1,Nayong Kanluran Cancio Park,Nayong Kanluran,Sulu St
Quezon City,1,"Paang Bundok, Barangay Hall Paang Bundok",Paang Bundok,166 Iriga St Laloma
Quezon City,1,"Paang Bundok,Open Space",Paang Bundok,Along Calavite St cor. A. Bonifacio St
Quezon City,1,Pag-ibig sa Nayon Barangay Hall,Pag-ibig sa Nayon,"Barangay Hall of Pag ibig sa Nayon, Pineda St"
Quezon City,1,Paltok Barangay Hall,Paltok,Basa St cor. Mendoza St
Quezon City,1,Paltok Bayanihan Elementary School,Paltok,Mendoza St
Quezon City,1,Paltok Covered Court,Paltok,1 Mendoza St
Quezon City,1,Paltok Elementary School,Paltok,Mendoza St
Quezon City,1,"Paraiso, Residential House",Paraiso,"15 EaSt, Riverside St"
Quezon City,1,Phil-am Football Field,Phil-Am,Phil-am Football Field
Quezon City,1,Phil-am Tennis Court,Phil-Am,Phil-am Tennis Court
Quezon City,1,Project 6 Elementary School,Project 6,Rd 7 St
Quezon City,1,Project 6 Multi-Purpose Hall – 3rd Floor,Project 6,Rd 2 St
Quezon City,1,Project 6 Park,Project 6,Rd 2 St
Quezon City,1,Project 6 Veterans Covred court,Project 6,Rd 7 St
Quezon City,1,Ramon Magsaysay Bago Bantay Elementary School,Ramon Magsaysay,Bukidnon St cor. Fort Santiago St
Quezon City,1,"Ramon Magsaysay, Multi-purpose Building Brgy Hall",Ramon Magsaysay,Ilocos St cor. Cagayan St
Quezon City,1,Salvacion Barangay Hall,Salvacion,"72 Bulusan St, Barangay Hall"
Quezon City,1,Barangay San Jose Covered Court,San Antonio,San Jose St
Quezon City,1,San Antonio Day Care Center (2) Sto. Niño (Guerero),San Antonio,San Jose St
Quezon City,1,San Jose De Padua Parish Church,San Antonio,27 Capillan St
Quezon City,1,Sinag Tala Elementary School,San Antonio,27 Capillan St
Quezon City,1,Vasra Multi-Purpose Hall,Vasra,Forestry St
Quezon City,1,Esteban Abada Elementary School,Veterans Village,Palomaria St
Quezon City,1,Veterans Village Basketball Covered court,Veterans Village,Calumpit St
Quezon City,1,Veterans Village BVV Function Hall,Veterans Village,BVV Function Hall
Quezon City,1,Veterans Village BVV Multi-purpose Hall,Veterans Village,BVV Multi-purpose Hall
Quezon City,1,"WeSt, Triangle Barangay Covered Court","WeSt, Triangle",Daily Mirror St
Quezon City,1,"WeSt, Triangle Multi-purpose Hall","WeSt, Triangle",Daily Mirror St
Quezon City,1,"WeSt, Triangle Open Space former JASMS compound","WeSt, Triangle",Daily Mirror St
Quezon City,2,Bagong Silangan Elementary School,Bagong Silangan,Gen. Villamor St
Quezon City,2,Bagong Silangan Evacuation Center,Bagong Silangan,Gen. Geronimo
Quezon City,2,Bagong Silangan High School,Bagong Silangan,Gen. Villamor St
Quezon City,2,"Bagong Silangan, BONA HOA Covered court",Bagong Silangan,Bonifacio Extension BONA HOA
Quezon City,2,"Bagong Silangan, Brookside Liban Covered Court",Bagong Silangan,Brooksire Gawad kalasag
Quezon City,2,"Bagong Silangan, Covenant Village Covered Court",Bagong Silangan,Covenant Village / Santolan
Quezon City,2,"Bagong Silangan, SB Covered Court area",Bagong Silangan,"5 Sitio Veterans"
Quezon City,2,"Bagong Silangan, SIPNA Covered Court",Bagong Silangan,SIPNA Compound / Manalon St
Quezon City,2,"Bagong Silangan, SMB HOA Covered Court",Bagong Silangan,Rd 5 Area C. Sitio Kumunoy
Quezon City,2,"Bagong Silangan, Sulyap ng Pag-asa Covered court",Bagong Silangan,Bonifacio Extension in front of BONA HOA
Quezon City,2,"Bagong Silangan, Sumama-ka-Compound Covered Court",Bagong Silangan,Sumama-ka-Compound Covered Court
Quezon City,2,"Bagong Sillangan, NASKI Covered court",Bagong Silangan,Bonifacio cor. J.P Rizal St
Quezon City,2,Batasan Hills – Saret St Basketball court,Batasan Hills,Saret St Basketball court Beside a Brgy Hall
Quezon City,2,Batasan Hills Barangay Hall,Batasan Hills,Barangay Hall Batasan Rd
Quezon City,2,Batasan Hills National High School,Batasan Hills,Batasan Hills National High School
Quezon City,2,"Batasan Hills, Consti Area Basketball Court",Batasan Hills,"Consti Area Basketball Court, Congressional Rd"
Quezon City,2,"Batasan Hills, Freedom Park Basketball Court",Batasan Hills,Freedom Park Basketball Court
Quezon City,2,"Batasan Hills, Ilang-ilang Area Basketball Court",Batasan Hills,Ilang-ilang Area Basketball Court
Quezon City,2,"Batasan Hills, Kalayaan B Basketball Court",Batasan Hills,Kalayaan B Basketball Court
Quezon City,2,"Batasan Hills, Sitio Bukal Basketball Court",Batasan Hills,Sitio Bukal Basketball Court
Quezon City,2,"Batasan Hills, Sitio Taniman Basketball Court",Batasan Hills,Stio Taniman Basketball Court / Morado St
Quezon City,2,"Batasan Hills, Talanay Area Basketball Court",Batasan Hills,Talanay Area Basketball Court Kagawad Rd
Quezon City,2,Pangasinan- St Luzviminda Basketball Court,Batasan Hills,Pangasinan St Luzviminda Basketball Court
Quezon City,2,Pres. Corazon C. Aquino Elementary School,Batasan Hills,Along Batasan Rd
Quezon City,2,San Diego Elementary School,Batasan Hills,San Diego Elementary School Masbate St
Quezon City,2,"Commonwealth, Adarna Covered Court",Commonwealth,Adarna Covered Court Adarna St
Quezon City,2,"Commonwealth, Kasunduan Covered Court",Commonwealth,Kasunduan Covered Court Kasunduan St
Quezon City,2,"Commonwealth, Kaunlaran Covered Court",Commonwealth,Kaunlaran Covered Court Kaunlaran St
Quezon City,2,"Commonwealth, MRB Covered Court",Commonwealth,MRB Covered Court
Quezon City,2,"Commonwealth, Purok 20 Covered Court",Commonwealth,Purok 20 Covered Court
Quezon City,2,"Commonwealth, Soliven Covered Court",Commonwealth,Soliven Covered Court Soliven St
Quezon City,2,"Commonwealth, St Joseph Covered",Commonwealth,St Joseph Covered Poinsettia
Quezon City,2,Holy Spirit Covered Court,Holy Spirit,Covered Court Front of Barangay Hall
Quezon City,2,Holy Spirit Gilarmi Covered Court,Holy Spirit,Sta. Catalina St
Quezon City,2,Holy Spirit Gulayan ng Bulaklakan (Urban Farm) Multi – Purpose Hall,Holy Spirit,Multi-Purpose Building
Quezon City,2,Holy Spirit MCRF Building,Holy Spirit,Fautisno
Quezon City,2,Holy Spirit Sto. Niño Covered Court,Holy Spirit,Sto. Niño St / Republic Ave
Quezon City,2,"Holy Spirit, LRB Covered Court",Holy Spirit,LRB Covered Court
Quezon City,2,"Payatas, Atis Covered Court",Payatas,Lower Atis St
Quezon City,2,"Payatas, Banahaw Covered Court",Payatas,Banahaw St
Quezon City,2,"Payatas, Bicol Mortuary",Payatas,Bicol St
Quezon City,2,"Payatas, Bistek Ville Covered Court",Payatas,Bistekville
Quezon City,2,"Payatas, Bulacan Covered Court",Payatas,Bulacan St
Quezon City,2,"Payatas, Ilang- ilang Covered Court",Payatas,Ilang – ilang St
Quezon City,2,"Payatas, Lower Jasmin Covered Court",Payatas,Jasmin St
Quezon City,2,"Payatas, Narra Covered Court",Payatas,Phase 2 Covered Court St
Quezon City,2,"Payatas, Phase 2 Multi-Purpose Hall",Payatas,Molave St
Quezon City,2,"Payatas, Phase 4 Covered Court",Payatas,Clemente St
Quezon City,2,"Payatas, Talisay Covered Court",Payatas,Morning Star St
Quezon City,2,"Quirino 3-B, Multi-purpose Hall",Payatas,"20 Almon St Project 3, Quezon City"
Quezon City,3,Amihan Day Care Center,Amihan,Amihan Day Care Center Palosapis St
Quezon City,3,Batino SPED Elementary School,Amihan,Batino SPED Elementary School Batino St
Quezon City,3,"Church of ChriSt, Tutorial Center",Amihan,"Church of ChriSt, Tutorial Center Palosapis St"
Quezon City,3,Bagumbayan Covered Court,Bagumbayan,Covered Court San Roque St
Quezon City,3,Bagumbayan Elementary School,Bagumbayan,Bagumbayan elementary school San Roque St
Quezon City,3,Bagumbayan Senior Citizens Hall,Bagumbayan,Senior Citizens Hall San Roque St
Quezon City,3,Manggahan Fire Station,Bagumbayan,Manggahan Fire Station Manggahan St
Quezon City,3,Bagumbuhay Barangay Hall / Basketball Covered Court,Bagumbuhay,Miguel Malvar St
Quezon City,3,Kalantiaw Elementary School,Bagumbuhay,Miguel Malvar St
Quezon City,3,Bayanihan Barangay Hall,Bayanihan,"P. Martinez St, Barangay Hall"
Quezon City,3,Camp Aguinaldo Parade Ground,Bayanihan,Camp Aguinaldo Parade Ground (De Jesus Ave. )
Quezon City,3,Blue Ridge A Parking Area front of Barangay Hall,Blue ridge A,Parking Area front of Barangay Hall (Cliff Dr)
Quezon City,3,Blue Ridge A Tennis Court & Basketball Court,Blue ridge A,Tennis Court & Basketball Court (Cliff Dr)
Quezon City,3,Blue Ridge B Barangay Hall,Blue ridge B,Barangay Hall (Moonlight Loop)
Quezon City,3,Camp Aguinaldo Open Space,Camp Aguinaldo,De Jesus Ave
Quezon City,3,Dioquino Zobel Barangay Hall Mini Stage,Dioquino Zobel,Barangay Dioquino Zobel
Quezon City,3,Duyan-duyan Covered Court,Duyan – Duyan,Kamagong St
Quezon City,3,Project 3 Elementary School,Duyan – Duyan,Molave St
Quezon City,3,Quirino High School,Duyan – Duyan,Molave St
Quezon City,3,Cubao Elementary School,E. Rodriguez,Cubao Elementary School Aurora Blvd
Quezon City,3,E. Rodriguez Barangay Hall,E. Rodriguez,"Barangay Hall, Ermin Garcia St"
Quezon City,3,"E. Rodriguez, Jesus is Lord Church, Oxford St",E. Rodriguez,"Jesus is Lord Church, Oxford St"
Quezon City,3,"E. Rodriguez, Stella Maris College, Day care Center",E. Rodriguez,"Stella Maris College, Day care Center, Cambridge St"
Quezon City,3,Nativity of our Lord Parish Church,E. Rodriguez,"Nativity of our lord parish church, Ermin Garcia St"
Quezon City,3,"EaSt, Kamias BarangayHall – 2nd and 3rd Floor","EaSt, Kamias",K-10th St
Quezon City,3,"EaSt, Kamias Multi-Purpose Hall","EaSt, Kamias",K-J St
Quezon City,3,"EaSt, Kamias SK Hall – 2nd Floor","EaSt, Kamias",K-J St
Quezon City,3,"EaSt, Kamias, Day Care Multi-Purpose Hall","EaSt, Kamias",K-10th St
Quezon City,3,"In front EaSt, Kamias Barangay Hall","EaSt, Kamias",K-10th St
Quezon City,3,Escopa I Chapel,Escopa I,Chapel Escopa I Rd
Quezon City,3,Escopa I Mini-Court,Escopa I,P. Burgos St
Quezon City,3,"Escopa II, Camp Emilio Aguinaldo",Escopa II,De Jesus Ave.
Quezon City,3,Escopa III NVRC,Escopa III,P.Burgos St (NVRC)
Quezon City,3,Escopa IV Barangay Hall,Escopa IV,Barangay Hall / Mapagmahal St
Quezon City,3,Escipa IV Basketball Covered Court proper,Escopa IV,"Mapagmahal St, / Proper"
Quezon City,3,Libis Barangay Hall,Libis,Barangay Hall
Quezon City,3,Libis Basketball Covered Court,Libis,Basketball covered court
Quezon City,3,Libis Day Care Center,Libis,Barangay Hall
Quezon City,3,Libis Elementary School,Libis,C5 Rd
Quezon City,3,Libis Multi-purpose Hall,Libis,Barangay Hall
Quezon City,3,Libis Parking Area,Libis,Front of barangay Hall
Quezon City,3,"Libis, Gazebo (Senior Hall)",Libis,Barangay Hall
Quezon City,3,"Loyola Heights, Alta Vista",Loyola Heights,Alta Vista
Quezon City,3,"Loyola Heights, Daan Tubo",Loyola Heights,Daang Tubo St
Quezon City,3,"Loyola Heights, Jocson Meralco Line",Loyola Heights,Jocson Meralco Line
Quezon City,3,"Loyola Heights, Mary town",Loyola Heights,Mary Town
Quezon City,3,"Loyola Heights, Park-7",Loyola Heights,Park-7
Quezon City,3,"Loyola Heights, Ronas Garden",Loyola Heights,Ronas Garden
Quezon City,3,"Loyola Heights, Varsity Hills",Loyola Heights,Varsity Hills
Quezon City,3,"Loyola Heights, Villa Aurora",Loyola Heights,Villa Aurora
Quezon City,3,"Loyola Heights, Xavierville I",Loyola Heights,Xavierville I
Quezon City,3,"Loyola Heights, Xavierville II",Loyola Heights,Xavierville II
Quezon City,3,"Loyola Heights, Xavierville III",Loyola Heights,Xavierville III
Quezon City,3,"Mangga, Day care Center",Mangga,Brgy Mangga St
Quezon City,3,"Mangga, Garden Open Court",Mangga,Brgy Mangga St
Quezon City,3,"Mangga, Technological Institute of the Philippines",Mangga,Aurora Boulevard
Quezon City,3,"Marilag, Plaza",Marilag,Plaza Marilag (Camerino St)
Quezon City,3,Marilag. T. Alonzo Elementary Shool,Marilag,T. Alonzo Elementary School (A. De Legaspi St)
Quezon City,3,Masagana Barangay Hall,Masagana,Barangay Hall
Quezon City,3,Masagana Basketball Covered court,Masagana,Front of Barangay Hall
Quezon City,3,Masagana Basketball Open Court,Masagana,Beside a Covered court
Quezon City,3,"Matandang Balara, Mafran Covered court",Matandang Balara,Mafran Covered court (Kalye Dos)
Quezon City,3,"Matandang Balara, Namalu Open Field",Matandang Balara,Namalu Open Field
Quezon City,3,"Matandang Balara, Old Balara Elementary School",Matandang Balara,Old Balara Elementary school
Quezon City,3,"Matandang Balara, Talipapa Covered Court",Matandang Balara,Feria Community
Quezon City,3,"Matandang Balara, Tandang Sora Covered Court",Matandang Balara,Old Balara Basketball Court
Quezon City,3,"Milagrosa, 5k Covered court",Milagrosa,Milagrosa Park Basketball Covered Court
Quezon City,3,"Milagrosa, Project 4 Open Space",Milagrosa,Milagrosa Park
Quezon City,3,Pansol Proper covered and open court,Pansol,Pansol Proper covered and open court
Quezon City,3,"Pansol, Balara Filter’s Parks and Play Grounds",Pansol,Balara Filter’s Parks and Play Grounds
Quezon City,3,"Pansol, Kaingin I Covered and Open Courts",Pansol,Kaingin I Covered and Open Courts
Quezon City,3,"Pansol, Kaingin II Covered court and Open Courts",Pansol,Kaingin II Covered court and Open Courts
Quezon City,3,Pansol. Barangay Hall Complex located at Plaza St,Pansol,Barangay Hall Complex located at Plaza St
Quezon City,3,Quirino 3-A Barangay Hall,Quirino 3-a,36-A PajoQuezon City1102 Metro Manila
Quezon City,3,Quirino 3-A Molave St,Quirino 3-a,Molave St
Quezon City,3,Quirino 3-B Covered Basketball Court,Quirino 3-B,"Akle Park and Play ground, Akle St Project 3, QC"
Quezon City,3,Quirino 3-B Multi-purpose Hall,Quirino 3-B,"20 Almon St Project 3, Quezon City"
Quezon City,3,Quirino 2-A Barangay Hall,Quirino 2A,Kubili St & Chico St
Quezon City,3,"Quirino 2-B, Barangay Multi-purpose Hall",Quirino 2-B,Pajo St
Quezon City,3,Quirino High School & Elementary School,Quirino 2-B,Molave St
Quezon City,3,"Quirino 2C, Open Space",Quirino 2-C,Siniguelas St Guyabano St
Quezon City,3,St Ignatius Barangay Social Hall,Saint Ignatius,Riviera St
Quezon City,3,St Ignatius Basketball Covered court,Saint Ignatius,Riviera St
Quezon City,3,St Ignatius Community Center,Saint Ignatius,Riviera St
Quezon City,3,St Ignatius Empty lot (3rd cor fordham),Saint Ignatius,Fordham St
Quezon City,3,"St Ignatius, Promenade A",Saint Ignatius,Riviera St
Quezon City,3,San Roque Brgy Hall (3rd Floor),San Roque,85 19th Ave
Quezon City,3,"San Roque, Aguinaldo Elementary School (Covered Court)",San Roque,18th Ave
Quezon City,3,Silangan Barangay Hall,Silangan,Silangan Barangay Hall (Ermin Garcia St)
Quezon City,3,Silangan Friendship Covered Court,Silangan,Friendship Covered Court Ermin Garcia St
Quezon City,3,15th Ave Elementary SchoolBasketball Covered Court,Socorro,15th Ave
Quezon City,3,Camp Aguinaldo,Socorro,Bonny Serrano Ave
Quezon City,3,SM Cubao Parking,Socorro,Gen. McArthur Ave cor. Gen. Aguinaldo Ave
Quezon City,3,Tagumpay Proper Area,Tagumpay,309 P. Tuazon Blvd
Quezon City,3,Ugong Norte Arcadia Ave,Ugong Norte,"131, 134, 138, 161, and 104 Arcadia Ave"
Quezon City,3,Ugong Norte D.V Rufino corner Don Vicente Ave,Ugong Norte,D.V Rufino corner Don Vicente Ave
Quezon City,3,Ugong Norte David St Gate 3 Madrigal St,Ugong Norte,David St Gate 3 Madrigal St
Quezon City,3,Ugong Norte Eclave and Ivory Court,Ugong Norte,"Christ, the King Parish Church Open Parking Lot"
Quezon City,3,Ugong Norte Football Field,Ugong Norte,Corinthian Gardens Park
Quezon City,3,Ugong Norte Hechanova corner Francisco St vacant lot,Ugong Norte,"Hechanova corner Francisco St, Vacant Lot"
Quezon City,3,Ugong Norte Luna Park,Ugong Norte,Luna Park
Quezon City,3,Ugong Norte Madrigal Park,Ugong Norte,Madrigal Park
Quezon City,3,Ugong Norte Open parking lot,Ugong Norte,The Clubhouse
Quezon City,3,Ugong Norte Park,Ugong Norte,Tabuena
Quezon City,3,Ugong Norte Vacant Lot,Ugong Norte,Swallow Drive
Quezon City,3,Ugong Norte Vacant Lot,Ugong Norte,Heron St
Quezon City,3,Ugong Norte Vacant Lot,Ugong Norte,Sparrow St
Quezon City,3,Ugong Norte Vacant Lot,Ugong Norte,Woodpecker corner Swan St
Quezon City,3,Ugong Norte Vacant Lot,Ugong Norte,"Flicker St, corner swallow drive"
Quezon City,3,Ugong Norte Vacant Lot,Ugong Norte,"Flamingo St, corner Hornbill St"
Quezon City,3,Ugong Norte Vacant Lot,Ugong Norte,Flamingo St
Quezon City,3,Ugong Norte Vacant Lot,Ugong Norte,Swallow Drive
Quezon City,3,Ugong Norte Vacant Lot,Ugong Norte,Temple Drive
Quezon City,3,Ugong Norte Vacant Lot,Ugong Norte,Front of Barangay Ugong Norte
Quezon City,3,"Ugong Norte, Castrillo St Gate 3 Vacant Lot",Ugong Norte,Castrillo St Gate 3 Vacant Lot
Quezon City,3,"Ugong Norte, Paterno Circle Park",Ugong Norte,Paterno Circle Park
Quezon City,3,"J. Bracken Covered Court and Multi-purpose Hall",Villa Maria Clara,J. Bracken St
Quezon City,3,P. Pelaez Multi-Purpose hall,Villa Maria Clara,P. Pelaez St
Quezon City,3,Pelaez Park,Villa Maria Clara,P. Pelaez St
Quezon City,3,Villa Maria Clara Barangay Hall,Villa Maria Clara,Alimudin Extension St
Quezon City,3,Villa Maria Clara Material Recovery Facility,Villa Maria Clara,Alimudin Extension St
Quezon City,3,Villa Maria Clara Senior Citizens Hall,Villa Maria Clara,Alimudin Extension St
Quezon City,3,Holy Family Parish Formation Center,"West, Kamias","K1 St, Holy Family Parish Formation Center"
Quezon City,3,"West, Kamias Covered Walk","West, Kamias","K10th St, Covered Walk"
Quezon City,3,White Plains Sports and Fitness Center (WPSFC),White Plains,Goldstar St
Quezon City,3,White Plains Tennis Court,White Plains,Goldstar St
Quezon City,4,"Bagong Lipunan ng Crame, Bagong Barrio Half Court",Bagong Lipunan ng Crame,Bagong Barrio
Quezon City,4,"Bagong Lipunan ng Crame, First, Ave court",Bagong Lipunan ng Crame,"FirSt, Ave, 1St, Ave Open Court"
